,hall,floor,row,col
954,OH,2F,R7,04
955,OH,2F,R7,05
956,OH,2F,R8,01
957,OH,2F,R8,02
958,OH,2F,R8,03
959,OH,2F,R8,04
960,OH,2F,R8,05
961,OH,2F,R9,01
962,OH,2F,R9,02
963,OH,2F,R9,03
964,OH,2F,R9,04
965,OH,2F,R9,05
966,OH,2F,R10,01
967,OH,2F,R10,02
968,OH,2F,R10,03
969,OH,2F,R10,04
970,OH,2F,R10,05
971,OH,2F,R11,01
972,OH,2F,R11,02
973,OH,2F,R11,03
974,OH,2F,R11,04
975,OH,2F,R11,05
976,OH,2F,R12,01
977,OH,2F,R12,02
978,OH,2F,R12,03
979,OH,2F,R12,04
980,OH,2F,R12,05
981,OH,2F,01,01
982,OH,2F,01,02
983,OH,2F,01,03
984,OH,2F,01,04
985,OH,2F,01,05
986,OH,2F,01,06
987,OH,2F,01,07
988,OH,2F,01,08
989,OH,2F,01,09
990,OH,2F,01,10
991,OH,2F,01,11
992,OH,2F,01,12
993,OH,2F,01,13
994,OH,2F,01,14
995,OH,2F,01,15
996,OH,2F,01,16
997,OH,2F,01,17
998,OH,2F,01,18
999,OH,2F,01,19
1000,OH,2F,01,20
1001,OH,2F,01,21
1002,OH,2F,01,22
1003,OH,2F,01,23
1004,OH,2F,01,24
1005,OH,2F,01,25
1006,OH,2F,01,26
1007,OH,2F,01,27
1008,OH,2F,01,28
1009,OH,2F,01,29
1010,OH,2F,01,30
1011,OH,2F,01,31
1012,OH,2F,01,32
1013,OH,2F,01,33
1014,OH,2F,01,34
1015,OH,2F,01,35
1016,OH,2F,01,36
1017,OH,2F,01,37
1018,OH,2F,01,38
1019,OH,2F,01,39
1020,OH,2F,01,40
1021,OH,2F,01,41
1022,OH,2F,01,42
1023,OH,2F,01,43
1024,OH,2F,01,44
1025,OH,2F,01,45
1026,OH,2F,01,46
1027,OH,2F,01,47
1028,OH,2F,01,48
1029,OH,2F,02,01
1030,OH,2F,02,02
1031,OH,2F,02,03
1032,OH,2F,02,04
1033,OH,2F,02,05
1034,OH,2F,02,06
1035,OH,2F,02,07
1036,OH,2F,02,08
1037,OH,2F,02,09
1038,OH,2F,02,10
1039,OH,2F,02,11
1040,OH,2F,02,12
1041,OH,2F,02,13
1042,OH,2F,02,14
